"","state","solution_level","diversion_baseline","diversion_alternative"
"105","NE","Prevention","6517.690731394","16656.023232399"
"106","NE","Rescue","5926.486287846","11176.09780597"
"107","NE","Animal Feed","26243.59307446","26243.59307446"
"108","NE","Recycling","188677.248773918","212165.956482587"
"109","NV","Prevention","8038.39611102","24907.35751252"
"110","NV","Rescue","6472.287377726","10200.742170696"
"111","NV","Animal Feed","9821.678776549","9821.678776549"
"112","NV","Recycling","273552.483965622","315059.552248421"
"113","NH","Prevention","5247.366443993","16588.576789233"
"114","NH","Rescue","2663.693768874","4084.796421753"
"115","NH","Animal Feed","2489.578763951","2489.578763951"
"116","NH","Recycling","151007.847665591","178260.162934344"
"117","NJ","Prevention","20278.833898834","63883.007720684"
"118","NJ","Rescue","19414.529696389","34071.041170556"
"119","NJ","Animal Feed","39300.427832308","39300.427832308"
"120","NJ","Recycling","663417.299795521","769577.223072706"
"121","NM","Prevention","5402.438334465","17151.79999416"
"122","NM","Rescue","4794.561690627","8217.04540185"
"123","NM","Animal Feed","15745.465898218","15745.465898218"
"124","NM","Recycling","189826.338353791","218191.180820481"
"125","NY","Prevention","31952.312858347","99485.399773047"
"126","NY","Rescue","51254.355777367","95346.032575035"
"127","NY","Animal Feed","103900.95182659","103900.95182659"
"128","NY","Recycling","1148089.46978614","1309475.31316554"
"129","NC","Prevention","28818.278122323","88211.491701823"
"130","NC","Rescue","55769.40235623","107506.33613696"
"131","NC","Animal Feed","53402.003017074","53402.003017074"
"132","NC","Recycling","891986.527397704","1030705.20060903"
"133","ND","Prevention","2856.676043154","6911.728400554"
"134","ND","Rescue","5294.119339764","10975.943918193"
"135","ND","Animal Feed","32550.041510969","32550.041510969"
"136","ND","Recycling","123401.600275009","132914.078481421"
"137","OH","Prevention","31644.583116925","92464.192750775"
"138","OH","Rescue","26262.981197563","44711.959874325"
"139","OH","Animal Feed","83511.366231053","83511.366231053"
"140","OH","Recycling","983387.082562098","1123045.11625831"
"141","OK","Prevention","9982.298800823","28785.663840423"
"142","OK","Rescue","9963.071075221","17165.08561741"
"143","OK","Animal Feed","18805.627873501","18805.627873501"
"144","OK","Recycling","297853.687356014","341138.543923101"
"145","OR","Prevention","8937.441301027","28814.085524177"
"146","OR","Rescue","26288.437480198","52673.559920741"
"147","OR","Animal Feed","42754.497091144","42754.497091144"
"148","OR","Recycling","374913.119795089","425579.083381917"
"149","PA","Prevention","30388.430935535","92856.213662335"
"150","PA","Rescue","31861.08760406","57496.379155214"
"151","PA","Animal Feed","72650.097535805","72650.097535805"
"152","PA","Recycling","980218.791601071","1123645.35547964"
"153","RI","Prevention","2179.213956054","6948.847591474"
"154","RI","Rescue","1731.853754436","2750.487996952"
"155","RI","Animal Feed","3061.274010586","3061.274010586"
"156","RI","Recycling","70814.138905082","82604.239331191"
"157","SC","Prevention","13706.272668013","42293.584416533"
"158","SC","Rescue","14659.535134054","25943.199537742"
"159","SC","Animal Feed","20190.228141811","20190.228141811"
"160","SC","Recycling","423566.898057912","489460.565532105"
"161","SD","Prevention","2418.363683574","6983.285686619"
"162","SD","Rescue","1561.521988899","2536.795346776"
"163","SD","Animal Feed","12254.112047543","12254.112047543"
"164","SD","Recycling","83993.780440322","94541.177892282"
"165","TN","Prevention","20221.620800247","59467.200432947"
"166","TN","Rescue","14529.462872452","23805.046047799"
"167","TN","Animal Feed","48606.877858085","48606.877858085"
"168","TN","Recycling","623545.83536127","713382.834726336"
"169","TX","Prevention","57854.244499309","169073.754279309"
"170","TX","Rescue","65710.93492201","112216.890252377"
"171","TX","Animal Feed","153230.53394562","153230.53394562"
"172","TX","Recycling","1930439.24756604","2200608.14152352"
"173","UT","Prevention","7325.786041192","21219.347703592"
"174","UT","Rescue","6166.954364248","10385.780283329"
"175","UT","Animal Feed","30311.815526741","30311.815526741"
"176","UT","Recycling","248809.523305607","282643.315361284"
"177","VT","Prevention","1449.836768846","4533.892636346"
"178","VT","Rescue","1248.339226014","2251.666601049"
"179","VT","Animal Feed","7550.461259071","7550.461259071"
"180","VT","Recycling","54609.464264158","61941.813760299"
"181","VA","Prevention","23362.728163725","73425.365527625"
"182","VA","Rescue","19548.210099749","32323.117676997"
"183","VA","Animal Feed","31387.678582883","31387.678582883"
"184","VA","Recycling","749848.510772816","868485.558603151"
"185","WA","Prevention","15452.072967893","50428.952512443"
"186","WA","Rescue","121173.257675007","250577.953954516"
"187","WA","Animal Feed","127945.641891227","127945.641891227"
"188","WA","Recycling","872030.372162907","959516.001037218"
"189","WV","Prevention","4706.20308671","14387.891556375"
"190","WV","Rescue","4175.093860492","7062.477866657"
"191","WV","Animal Feed","3787.98206557","3787.98206557"
"192","WV","Recycling","137928.953964776","159717.541311769"
"193","WI","Prevention","14101.147576269","41077.334978419"
"194","WI","Rescue","25791.070195084","51254.81131654"
"195","WI","Animal Feed","314829.272276595","314829.272276595"
"196","WI","Recycling","946499.310836662","1008534.93784227"
"197","WY","Prevention","1625.595388134","5052.651223884"
"198","WY","Rescue","969.157826674","1454.44811392"
"199","WY","Animal Feed","987.992634239","987.992634239"
"200","WY","Recycling","47797.711822354","55809.796178181"
